  RL                   , -I(RL)               
  1.000000000000e+002  ,3.781510689387e-003  
  1.500000000000e+002  ,3.777207763250e-003  
  2.000000000000e+002  ,3.772924961306e-003  
  2.500000000000e+002  ,3.768652195374e-003  
  3.000000000000e+002  ,3.764380666671e-003  
  3.500000000000e+002  ,3.760101932145e-003  
  4.000000000000e+002  ,3.755809077430e-003  
  4.500000000000e+002  ,3.751495116745e-003  
  5.000000000000e+002  ,3.747154353919e-003  
  5.500000000000e+002  ,3.742780726542e-003  
  6.000000000000e+002  ,3.738369197511e-003  
  6.500000000000e+002  ,3.733914121172e-003  
  7.000000000000e+002  ,3.729410625240e-003  
  7.500000000000e+002  ,3.724852942998e-003  
  8.000000000000e+002  ,3.720235833507e-003  
  8.500000000000e+002  ,3.715552941472e-003  
  9.000000000000e+002  ,3.710798200232e-003  
  9.500000000000e+002  ,3.705964141154e-003  
  1.000000000000e+003  ,3.701043326620e-003  
  1.050000000000e+003  ,3.696026677565e-003  
  1.100000000000e+003  ,3.690904858952e-003  
  1.150000000000e+003  ,3.685666513629e-003  
  1.200000000000e+003  ,3.680299648118e-003  
  1.250000000000e+003  ,3.674789857478e-003  
  1.300000000000e+003  ,3.669121603630e-003  
  1.350000000000e+003  ,3.663276265731e-003  
  1.400000000000e+003  ,3.657233359714e-003  
  1.450000000000e+003  ,3.650968528674e-003  
  1.500000000000e+003  ,3.644454541322e-003  
  1.550000000000e+003  ,3.637659438365e-003  
  1.600000000000e+003  ,3.630544919360e-003  
  1.650000000000e+003  ,3.623069215262e-003  
  1.700000000000e+003  ,3.615179998666e-003  
  1.750000000000e+003  ,3.606819313893e-003  
  1.800000000000e+003  ,3.597915544912e-003  
  1.850000000000e+003  ,3.588387582194e-003  
  1.900000000000e+003  ,3.578136143510e-003  
  1.950000000000e+003  ,3.567046745062e-003  
  2.000000000000e+003  ,3.554979610922e-003  
  2.050000000000e+003  ,3.541769305448e-003  
  2.100000000000e+003  ,3.527207090210e-003  
  2.150000000000e+003  ,3.511017664277e-003  
  2.200000000000e+003  ,3.492773319777e-003  
  2.250000000000e+003  ,3.471698467475e-003  
  2.300000000000e+003  ,3.446497759467e-003  
  2.350000000000e+003  ,3.416182134238e-003  
  2.400000000000e+003  ,3.381276967927e-003  
  2.450000000000e+003  ,3.343152969680e-003  
  2.500000000000e+003  ,3.303028631998e-003  
  2.550000000000e+003  ,3.261766139425e-003  
  2.600000000000e+003  ,3.219949402360e-003  
  2.650000000000e+003  ,3.177978166089e-003  
  2.700000000000e+003  ,3.136129427101e-003  
  2.750000000000e+003  ,3.094598856508e-003  
  2.800000000000e+003  ,3.053524899709e-003  
  2.850000000000e+003  ,3.013006567201e-003  
  2.900000000000e+003  ,2.973113457325e-003  
  2.950000000000e+003  ,2.933894439971e-003  
  3.000000000000e+003  ,2.895382129006e-003  
  3.050000000000e+003  ,2.857597656486e-003  
  3.100000000000e+003  ,2.820552721365e-003  
  3.150000000000e+003  ,2.784252485322e-003  
  3.200000000000e+003  ,2.748696470591e-003  
  3.250000000000e+003  ,2.713880464450e-003  
  3.300000000000e+003  ,2.679796835794e-003  
  3.350000000000e+003  ,2.646435997443e-003  
  3.400000000000e+003  ,2.613785800276e-003  
  3.450000000000e+003  ,2.581833765799e-003  
  3.500000000000e+003  ,2.550565724227e-003  
  3.550000000000e+003  ,2.519967055079e-003  
  3.600000000000e+003  ,2.490022651793e-003  
  3.650000000000e+003  ,2.460717201149e-003  
  3.700000000000e+003  ,2.432035124584e-003  
  3.750000000000e+003  ,2.403960924363e-003  
  3.800000000000e+003  ,2.376479123951e-003  
  3.850000000000e+003  ,2.349574533847e-003  
  3.900000000000e+003  ,2.323231820229e-003  
  3.950000000000e+003  ,2.297436367669e-003  
  4.000000000000e+003  ,2.272173458867e-003  
  4.050000000000e+003  ,2.247428953079e-003  
  4.100000000000e+003  ,2.223188739435e-003  
  4.150000000000e+003  ,2.199439385423e-003  
  4.200000000000e+003  ,2.176167528008e-003  
  4.250000000000e+003  ,2.153360362087e-003  
  4.300000000000e+003  ,2.131005216615e-003  
  4.350000000000e+003  ,2.109090017240e-003  
  4.400000000000e+003  ,2.087602850186e-003  
  4.450000000000e+003  ,2.066532256587e-003  
  4.500000000000e+003  ,2.045867048919e-003  
  4.550000000000e+003  ,2.025596460395e-003  
  4.600000000000e+003  ,2.005709938082e-003  
  4.650000000000e+003  ,1.986197376582e-003  
  4.700000000000e+003  ,1.967048873519e-003  
  4.750000000000e+003  ,1.948254909246e-003  
  4.800000000000e+003  ,1.929806202110e-003  
  4.850000000000e+003  ,1.911693825691e-003  
  4.900000000000e+003  ,1.893909060926e-003  
  4.950000000000e+003  ,1.876443503246e-003  
  5.000000000000e+003  ,1.859288994170e-003  
